AIRLINE,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,DISTANCE
American Airlines Inc.,ATL,"Atlanta, GA",PHL,"Philadelphia, PA",666.0
Mesa Airlines Inc.,MAF,"Midland/Odessa, TX",PHX,"Phoenix, AZ",581.0
Southwest Airlines Co.,BWI,"Baltimore, MD",PIT,"Pittsburgh, PA",210.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",DFW,"Dallas/Fort Worth, TX",731.0
Allegiant Air,GRR,"Grand Rapids, MI",PIE,"St. Petersburg, FL",1044.0
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",OMA,"Omaha, NE",840.0
Delta Air Lines Inc.,LAX,"Los Angeles, CA",MCO,"Orlando, FL",2218.0
Southwest Airlines Co.,SFO,"San Francisco, CA",BUR,"Burbank, CA",326.0
Southwest Airlines Co.,MCO,"Orlando, FL",MDW,"Chicago, IL",990.0
Alaska Airlines Inc.,SEA,"Seattle, WA",DEN,"Denver, CO",1024.0
American Airlines Inc.,LGA,"New York, NY",ORD,"Chicago, IL",733.0
SkyWest Airlines Inc.,JFK,"New York, NY",IAD,"Washington, DC",228.0
PSA Airlines Inc.,BUF,"Buffalo, NY",DCA,"Washington, DC",296.0
SkyWest Airlines Inc.,DEN,"Denver, CO",CID,"Cedar Rapids/Iowa City, IA",692.0
SkyWest Airlines Inc.,PHX,"Phoenix, AZ",PSP,"Palm Springs, CA",261.0
Southwest Airlines Co.,DEN,"Denver, CO",SEA,"Seattle, WA",1024.0
Allegiant Air,TUS,"Tucson, AZ",BLI,"Bellingham, WA",1299.0
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",SFO,"San Francisco, CA",599.0
Southwest Airlines Co.,BNA,"Nashville, TN",MDW,"Chicago, IL",395.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",EGE,"Eagle, CO",721.0
Southwest Airlines Co.,MCO,"Orlando, FL",ALB,"Albany, NY",1073.0
